Packing Number,Packing Date,SO Number,Customer Name,Status,Item Name,SKU,Quantity Packed,Item Price,Kit Combo Item Name,Serial Numbers,Batch ID,Batch Reference#,Manufacturer Batch#,Manufactured Date,Expiry Date,Quantity Out,Billing Address,Billing Street2,Billing City,Billing State,Billing Country,Billing Code,Billing Fax,Billing Phone,Shipping Address,Shipping Street2,Shipping City,Shipping State,Shipping Country,Shipping Code,Shipping Fax,Shipping Phone,Notes,Created Time,Last Modified Time
PKG-00003,2019-07-31,SO-00052,ELMASS SYSTEMS & SERVICES,delivered,Price Computing Scale-W,ATMPCW,5.000000,2300.000000,,,,,,,,,"Elmass System & Services
Moonlight House, Lissie Jn
Ernakulam",,Ernakulam,Kerala,India,682018,,,"Elmass System & Services
Moonlight House, Lissie Jn
Ernakulam",,Ernakulam,Kerala,India,682018,,,,2019-08-26,2025-04-25
PKG-00004,2019-07-30,SO-00050,UNITECH WEIGHING SYSTEM,delivered,ECS with Printer,ECS5W,2.000000,14500.000000,,,,,,,,,Pullathil Building,Adichira,Kottayam,Kerala,,,,9947550783,,,,,,,,,,2019-08-26,2025-04-25
PKG-00005,2019-07-31,SO-00053,ELMASS SYSTEMS & SERVICES,delivered,Price Computing scale,ATMPC,15.000000,1700.000000,,,,,,,,,"Elmass System & Services
Moonlight House, Lissie Jn
Ernakulam",,Ernakulam,Kerala,India,682018,,,"Elmass System & Services
Moonlight House, Lissie Jn
Ernakulam",,Ernakulam,Kerala,India,682018,,,,2019-08-26,2025-04-25
PKG-00005,2019-07-31,SO-00053,ELMASS SYSTEMS & SERVICES,delivered,Platform scale,BENCHPC,10.000000,1950.000000,,,,,,,,,"Elmass System & Services
Moonlight House, Lissie Jn
Ernakulam",,Ernakulam,Kerala,India,682018,,,"Elmass System & Services
Moonlight House, Lissie Jn
Ernakulam",,Ernakulam,Kerala,India,682018,,,,2019-08-26,2025-04-25
PKG-00006,2019-08-01,SO-00054,S&S WEIGHING SYSTEM,delivered,ECS with Printer,ECS5W,4.000000,14500.000000,,,,,,,,,Neelima Complex,"Mangattukavala,Todupuzha Easst PO",Idukki,kerala,India,,,,Neelima Complex,"Mangattukavala,Todupuzha Easst PO",Idukki,kerala,India,,,,,2019-08-26,2025-04-25
PKG-00006,2019-08-01,SO-00054,S&S WEIGHING SYSTEM,delivered,Price Computing Scale-W,ATMPCW,10.000000,2300.000000,,,,,,,,,Neelima Complex,"Mangattukavala,Todupuzha Easst PO",Idukki,kerala,India,,,,Neelima Complex,"Mangattukavala,Todupuzha Easst PO",Idukki,kerala,India,,,,,2019-08-26,2025-04-25
PKG-00007,2019-08-01,SO-00055,S&S WEIGHING SYSTEM,delivered,Price Computing scale,ATMPC,20.000000,1700.000000,,,,,,,,,Neelima Complex,"Mangattukavala,Todupuzha Easst PO",Idukki,kerala,India,,,,Neelima Complex,"Mangattukavala,Todupuzha Easst PO",Idukki,kerala,India,,,,,2019-08-26,2025-04-25
PKG-00007,2019-08-01,SO-00055,S&S WEIGHING SYSTEM,delivered,Platform scale,BENCHPC,28.000000,1950.000000,,,,,,,,,Neelima Complex,"Mangattukavala,Todupuzha Easst PO",Idukki,kerala,India,,,,Neelima Complex,"Mangattukavala,Todupuzha Easst PO",Idukki,kerala,India,,,,,2019-08-26,2025-04-25
PKG-00008,2019-08-03,SO-00056,SANIA SYSTEMS,delivered,Platform scale,BENCHPC,25.000000,1950.000000,,,,,,,,,"No. 2 & 3, Malabar Plaza Opp M.N. Technical College","K. G. Halli, Abbigere Main Road
Jalahalli West Bangaluru - 560015",Bangaluru,Karnataka,,560015,,9036133533,"No. 2 & 3, Malabar Plaza Opp M.N. Technical College","K. G. Halli, Abbigere Main Road
Jalahalli West Bangaluru - 560015",Bangaluru,Karnataka,,560015,,9036133533,,2019-08-26,2025-04-25
PKG-00008,2019-08-03,SO-00056,SANIA SYSTEMS,delivered,Price Computing scale,ATMPC,50.000000,1700.000000,,,,,,,,,"No. 2 & 3, Malabar Plaza Opp M.N. Technical College","K. G. Halli, Abbigere Main Road
Jalahalli West Bangaluru - 560015",Bangaluru,Karnataka,,560015,,9036133533,"No. 2 & 3, Malabar Plaza Opp M.N. Technical College","K. G. Halli, Abbigere Main Road
Jalahalli West Bangaluru - 560015",Bangaluru,Karnataka,,560015,,9036133533,,2019-08-26,2025-04-25
PKG-00008,2019-08-03,SO-00056,SANIA SYSTEMS,delivered,Price Computing Scale-W,ATMPCW,5.000000,2300.000000,,,,,,,,,"No. 2 & 3, Malabar Plaza Opp M.N. Technical College","K. G. Halli, Abbigere Main Road
Jalahalli West Bangaluru - 560015",Bangaluru,Karnataka,,560015,,9036133533,"No. 2 & 3, Malabar Plaza Opp M.N. Technical College","K. G. Halli, Abbigere Main Road
Jalahalli West Bangaluru - 560015",Bangaluru,Karnataka,,560015,,9036133533,,2019-08-26,2025-04-25
PKG-00009,2019-08-03,SO-00057,UNITECH WEIGHING SYSTEM,delivered,ECS with Printer,ECS5W,2.000000,14500.000000,,,,,,,,,Pullathil Building,Adichira,Kottayam,Kerala,,686028,,9947550783,Pullathil Building,Adichira,Kottayam,Kerala,,686028,,9947550783,,2019-08-26,2025-04-25
PKG-00009,2019-08-03,SO-00057,UNITECH WEIGHING SYSTEM,delivered,Platform scale,BENCHPC,10.000000,1950.000000,,,,,,,,,Pullathil Building,Adichira,Kottayam,Kerala,,686028,,9947550783,Pullathil Building,Adichira,Kottayam,Kerala,,686028,,9947550783,,2019-08-26,2025-04-25
PKG-00010,2019-08-04,SO-00058,DIGITAL SCALE,delivered,Platform scale,BENCHPC,20.000000,1950.000000,,,,,,,,,"Near Stadium,",Mukkam Road,Aeekode,kerala,,673739,,,"Near Stadium,",Mukkam Road,Aeekode,kerala,,673739,,,,2019-08-26,2025-04-25
PKG-00010,2019-08-04,SO-00058,DIGITAL SCALE,delivered,Price Computing scale,ATMPC,20.000000,1700.000000,,,,,,,,,"Near Stadium,",Mukkam Road,Aeekode,kerala,,673739,,,"Near Stadium,",Mukkam Road,Aeekode,kerala,,673739,,,,2019-08-26,2025-04-25
PKG-00010,2019-08-04,SO-00058,DIGITAL SCALE,delivered,Price Computing scale,ATMPC,10.000000,1700.000000,,,,,,,,,"Near Stadium,",Mukkam Road,Aeekode,kerala,,673739,,,"Near Stadium,",Mukkam Road,Aeekode,kerala,,673739,,,,2019-08-26,2025-04-25
PKG-00011,2019-08-05,SO-00059,MEEZAN ELECTRONIC SCALES PRIVATE LIMITED,delivered,Platform scale,BENCHPC,10.000000,1950.000000,,,,,,,,,"8/308A Meezan Tower 
Calicut Road , Manjeri",,MANJERI,Kerala,India,676121,,,"8/308A Meezan Tower 
Calicut Road , Manjeri",,MANJERI,Kerala,India,676121,,,,2019-08-26,2025-04-25
PKG-00012,2019-08-07,SO-00062,METRO ENTERPRISES,delivered,Stamping Expense 50 kg,SF50,5.000000,510.000000,,,,,,,,,"V.K. Building, Kodathippadi",Mannarkad,Palakkad,Kerala,,678582,,9447922223,"V.K. Building, Kodathippadi",Mannarkad,Palakkad,Kerala,,678582,,9447922223,,2019-08-26,2025-04-25
PKG-00012,2019-08-07,SO-00062,METRO ENTERPRISES,delivered,Stamping Expense 20 kg,SF20,5.000000,345.000000,,,,,,,,,"V.K. Building, Kodathippadi",Mannarkad,Palakkad,Kerala,,678582,,9447922223,"V.K. Building, Kodathippadi",Mannarkad,Palakkad,Kerala,,678582,,9447922223,,2019-08-26,2025-04-25
PKG-00012,2019-08-07,SO-00062,METRO ENTERPRISES,delivered,Stamping Expense 20 kg,SF20,5.000000,345.000000,,,,,,,,,"V.K. Building, Kodathippadi",Mannarkad,Palakkad,Kerala,,678582,,9447922223,"V.K. Building, Kodathippadi",Mannarkad,Palakkad,Kerala,,678582,,9447922223,,2019-08-26,2025-04-25
PKG-00012,2019-08-07,SO-00062,METRO ENTERPRISES,delivered,Stamping Expense 20 kg,SF20,5.000000,345.000000,,,,,,,,,"V.K. Building, Kodathippadi",Mannarkad,Palakkad,Kerala,,678582,,9447922223,"V.K. Building, Kodathippadi",Mannarkad,Palakkad,Kerala,,678582,,9447922223,,2019-08-26,2025-04-25
PKG-00012,2019-08-07,SO-00062,METRO ENTERPRISES,delivered,Stamping Expense 30 kg,SF30,2.000000,510.000000,,,,,,,,,"V.K. Building, Kodathippadi",Mannarkad,Palakkad,Kerala,,678582,,9447922223,"V.K. Building, Kodathippadi",Mannarkad,Palakkad,Kerala,,678582,,9447922223,,2019-08-26,2025-04-25
PKG-00013,2019-08-08,SO-00063,Thrass World Waynad,delivered,ECS with Printer,ECS5W,2.000000,14500.000000,,,,,,,,,"Room No 15/131-T,Noorul Islam Complex","Beenachi, Sulthan Batheri",Waynad,Kerala,India,673593,,,"Room No 15/131-T,Noorul Islam Complex","Beenachi, Sulthan Batheri",Waynad,Kerala,India,673593,,,,2019-08-26,2025-04-25
PKG-00013,2019-08-08,SO-00063,Thrass World Waynad,delivered,Price Computing Scale-T,ATMPCT,5.000000,2400.000000,,,,,,,,,"Room No 15/131-T,Noorul Islam Complex","Beenachi, Sulthan Batheri",Waynad,Kerala,India,673593,,,"Room No 15/131-T,Noorul Islam Complex","Beenachi, Sulthan Batheri",Waynad,Kerala,India,673593,,,,2019-08-26,2025-04-25
PKG-00013,2019-08-08,SO-00063,Thrass World Waynad,delivered,Price Computing Scale-W,ATMPCW,5.000000,2300.000000,,,,,,,,,"Room No 15/131-T,Noorul Islam Complex","Beenachi, Sulthan Batheri",Waynad,Kerala,India,673593,,,"Room No 15/131-T,Noorul Islam Complex","Beenachi, Sulthan Batheri",Waynad,Kerala,India,673593,,,,2019-08-26,2025-04-25
PKG-00013,2019-08-08,SO-00063,Thrass World Waynad,delivered,Price Computing scale,ATMPC,10.000000,1700.000000,,,,,,,,,"Room No 15/131-T,Noorul Islam Complex","Beenachi, Sulthan Batheri",Waynad,Kerala,India,673593,,,"Room No 15/131-T,Noorul Islam Complex","Beenachi, Sulthan Batheri",Waynad,Kerala,India,673593,,,,2019-08-26,2025-04-25
PKG-00013,2019-08-08,SO-00063,Thrass World Waynad,delivered,Platform scale,BENCHPC,7.000000,1950.000000,,,,,,,,,"Room No 15/131-T,Noorul Islam Complex","Beenachi, Sulthan Batheri",Waynad,Kerala,India,673593,,,"Room No 15/131-T,Noorul Islam Complex","Beenachi, Sulthan Batheri",Waynad,Kerala,India,673593,,,,2019-08-26,2025-04-25
PKG-00014,2019-08-13,SO-00065,ACE ELECTRONICS,delivered,ECS with Printer,ECS5W,2.000000,14500.000000,,,,,,,,,"Akai tower ,
Near Tali Temple 
Thali ,Calicut",,Calicut,Kerala,India,673002,,,"Akai tower ,
Near Tali Temple 
Thali ,Calicut",,Calicut,Kerala,India,673002,,,,2019-08-26,2025-04-25
PKG-00015,2019-08-14,SO-00067,MICRO WEIGHING SYSTEMS,delivered,Price Computing scale,ATMPC,20.000000,1700.000000,,,,,,,,,Main Road Mudavoorpara,"Balaramapuram,",Trivandrum,Kerala,India,695501,,04712400926,Main Road Mudavoorpara,"Balaramapuram,",Trivandrum,Kerala,India,695501,,04712400926,,2019-08-26,2025-04-25
PKG-00015,2019-08-14,SO-00067,MICRO WEIGHING SYSTEMS,delivered,Platform scale,BENCHPC,25.000000,1950.000000,,,,,,,,,Main Road Mudavoorpara,"Balaramapuram,",Trivandrum,Kerala,India,695501,,04712400926,Main Road Mudavoorpara,"Balaramapuram,",Trivandrum,Kerala,India,695501,,04712400926,,2019-08-26,2025-04-25
PKG-00015,2019-08-14,SO-00067,MICRO WEIGHING SYSTEMS,delivered,Price Computing Scale-W,ATMPCW,5.000000,2300.000000,,,,,,,,,Main Road Mudavoorpara,"Balaramapuram,",Trivandrum,Kerala,India,695501,,04712400926,Main Road Mudavoorpara,"Balaramapuram,",Trivandrum,Kerala,India,695501,,04712400926,,2019-08-26,2025-04-25
PKG-00016,2019-08-14,SO-00068,ACCURATE TRADE LINKS,delivered,Price Computing Scale-T,ATMPCT,10.000000,2300.000000,,,,,,,,,Future Centre,Ottukuzhi Road,Trivandrum,Kerala,India,695001,,,Future Centre,Ottukuzhi Road,Trivandrum,Kerala,India,695001,,,,2019-08-26,2025-04-25
PKG-00016,2019-08-14,SO-00068,ACCURATE TRADE LINKS,delivered,Price Computing Scale-W,ATMPCW,10.000000,2200.000000,,,,,,,,,Future Centre,Ottukuzhi Road,Trivandrum,Kerala,India,695001,,,Future Centre,Ottukuzhi Road,Trivandrum,Kerala,India,695001,,,,2019-08-26,2025-04-25
PKG-00017,2019-08-15,SO-00070,MILLI MEASUREMENTS,delivered,ECS with Printer,ECS5W,2.000000,14500.000000,,,,,,,,,"PP-20/14, NISHA FLOUR MILL BUILDING","PANANGAD, BALUSSERY,",KOZHIKODE,Kerala,India,673612,,9656119575,"PP-20/14, NISHA FLOUR MILL BUILDING","PANANGAD, BALUSSERY,",KOZHIKODE,Kerala,India,673612,,9656119575,,2019-08-26,2025-04-25
PKG-00017,2019-08-15,SO-00070,MILLI MEASUREMENTS,delivered,Platform scale,BENCHPC,20.000000,1950.000000,,,,,,,,,"PP-20/14, NISHA FLOUR MILL BUILDING","PANANGAD, BALUSSERY,",KOZHIKODE,Kerala,India,673612,,9656119575,"PP-20/14, NISHA FLOUR MILL BUILDING","PANANGAD, BALUSSERY,",KOZHIKODE,Kerala,India,673612,,9656119575,,2019-08-26,2025-04-25
PKG-00017,2019-08-15,SO-00070,MILLI MEASUREMENTS,delivered,Price Computing Scale-W,ATMPCW,5.000000,2300.000000,,,,,,,,,"PP-20/14, NISHA FLOUR MILL BUILDING","PANANGAD, BALUSSERY,",KOZHIKODE,Kerala,India,673612,,9656119575,"PP-20/14, NISHA FLOUR MILL BUILDING","PANANGAD, BALUSSERY,",KOZHIKODE,Kerala,India,673612,,9656119575,,2019-08-26,2025-04-25
PKG-00017,2019-08-15,SO-00070,MILLI MEASUREMENTS,delivered,Price Computing scale,ATMPC,15.000000,1700.000000,,,,,,,,,"PP-20/14, NISHA FLOUR MILL BUILDING","PANANGAD, BALUSSERY,",KOZHIKODE,Kerala,India,673612,,9656119575,"PP-20/14, NISHA FLOUR MILL BUILDING","PANANGAD, BALUSSERY,",KOZHIKODE,Kerala,India,673612,,9656119575,,2019-08-26,2025-04-25
PKG-00018,2019-08-15,SO-00071,MARVEL ELECTRONICS,delivered,Platform scale,BENCHPC,20.000000,1950.000000,,,,,,,,,"1/662 - A1, Henry Electrical Building","Byju Road, Kunnamkulam",Thrissur,Kerala,,680503,,,"1/662 - A1, Henry Electrical Building","Byju Road, Kunnamkulam",Thrissur,Kerala,,680503,,,,2019-08-26,2025-04-25
PKG-00018,2019-08-15,SO-00071,MARVEL ELECTRONICS,delivered,Price Computing Scale-W,ATMPCW,5.000000,2300.000000,,,,,,,,,"1/662 - A1, Henry Electrical Building","Byju Road, Kunnamkulam",Thrissur,Kerala,,680503,,,"1/662 - A1, Henry Electrical Building","Byju Road, Kunnamkulam",Thrissur,Kerala,,680503,,,,2019-08-26,2025-04-25
PKG-00018,2019-08-15,SO-00071,MARVEL ELECTRONICS,delivered,Price Computing scale,ATMPC,5.000000,1700.000000,,,,,,,,,"1/662 - A1, Henry Electrical Building","Byju Road, Kunnamkulam",Thrissur,Kerala,,680503,,,"1/662 - A1, Henry Electrical Building","Byju Road, Kunnamkulam",Thrissur,Kerala,,680503,,,,2019-08-26,2025-04-25
PKG-00019,2019-08-16,SO-00072,ACCURATE TRADE LINKS,delivered,Price Computing Scale-W,ATMPCW,5.000000,2300.000000,,,,,,,,,Future Centre,Ottukuzhi Road,Trivandrum,Kerala,India,695001,,,Future Centre,Ottukuzhi Road,Trivandrum,Kerala,India,695001,,,,2019-08-26,2025-04-25
PKG-00020,2019-08-20,SO-00076,EXATA BALANCE CO,delivered,Price Computing scale,ATMPC,20.000000,1700.000000,,,,,,,,,"Muringathazham Road, Vattappara",Valanchery,Malappuram,Kerala,India,676552,,9961858453,"Muringathazham Road, Vattappara",Valanchery,Malappuram,Kerala,India,676552,,9961858453,,2019-08-26,2025-04-25
PKG-00021,2019-08-20,SO-00074,EXATA BALANCE CO,delivered,ECS with Printer,ECS5W,2.000000,14500.000000,,,,,,,,,"Muringathazham Road, Vattappara",Valanchery,Malappuram,Kerala,India,676552,,9961858453,"Thrass india ,",Near tali temple,Kozhikode,Kerala,,,,,,2019-08-26,2025-04-25
PKG-00022,2019-08-20,SO-00075,MALABAR SCALES- Thirssur,delivered,Platform scale,BENCHPC,20.000000,1950.000000,,,,,,,,,"Garden Complex,2nd floor",Near Govt Hospital,"Kodugallur,Thrissur",Kerala,,680664,,,"Garden Complex,2nd floor",Near Govt Hospital,"Kodugallur,Thrissur",Kerala,,680664,,,,2019-08-26,2025-04-25
PKG-00022,2019-08-20,SO-00075,MALABAR SCALES- Thirssur,delivered,Price Computing scale,ATMPC,10.000000,1700.000000,,,,,,,,,"Garden Complex,2nd floor",Near Govt Hospital,"Kodugallur,Thrissur",Kerala,,680664,,,"Garden Complex,2nd floor",Near Govt Hospital,"Kodugallur,Thrissur",Kerala,,680664,,,,2019-08-26,2025-04-25
PKG-00022,2019-08-20,SO-00075,MALABAR SCALES- Thirssur,delivered,Price Computing Scale-W,ATMPCW,5.000000,2300.000000,,,,,,,,,"Garden Complex,2nd floor",Near Govt Hospital,"Kodugallur,Thrissur",Kerala,,680664,,,"Garden Complex,2nd floor",Near Govt Hospital,"Kodugallur,Thrissur",Kerala,,680664,,,,2019-08-26,2025-04-25
PKG-00023,2019-08-21,SO-00077,TRANSWORLD SCALES SERVICES,delivered,Label Printing scale,Q8LBL,2.000000,16500.000000,,,,,,,,,Beach Road,Kollam,Kollam,kerala,India,,,,Transworld Scales Services,Beach Road,Kollam,Kerala,India,691001,,04742742381,,2019-08-26,2025-04-25
PKG-00023,2019-08-21,SO-00077,TRANSWORLD SCALES SERVICES,delivered,Price Computing scale,ATMPC,5.000000,1700.000000,,,,,,,,,Beach Road,Kollam,Kollam,kerala,India,,,,Transworld Scales Services,Beach Road,Kollam,Kerala,India,691001,,04742742381,,2019-08-26,2025-04-25
PKG-00024,2019-08-22,SO-00078,ADWITHI AUTOMATION,delivered,Platform scale,BENCHPC,10.000000,1950.000000,,,,,,,,,"9/145 - A1 GN Complex, Bye Pass Road",Kuttanellur P.O.,Thrissur,Kerala,India,680014,,8289899411,"9/145 - A1 GN Complex, Bye Pass Road",Kuttanellur P.O.,Thrissur,Kerala,India,680014,,8289899411,,2019-08-26,2025-04-25
PKG-00024,2019-08-22,SO-00078,ADWITHI AUTOMATION,delivered,Price Computing scale,ATMPC,5.000000,1700.000000,,,,,,,,,"9/145 - A1 GN Complex, Bye Pass Road",Kuttanellur P.O.,Thrissur,Kerala,India,680014,,8289899411,"9/145 - A1 GN Complex, Bye Pass Road",Kuttanellur P.O.,Thrissur,Kerala,India,680014,,8289899411,,2019-08-26,2025-04-25
PKG-00024,2019-08-22,SO-00078,ADWITHI AUTOMATION,delivered,Price Computing scale,ATMPC,5.000000,1700.000000,,,,,,,,,"9/145 - A1 GN Complex, Bye Pass Road",Kuttanellur P.O.,Thrissur,Kerala,India,680014,,8289899411,"9/145 - A1 GN Complex, Bye Pass Road",Kuttanellur P.O.,Thrissur,Kerala,India,680014,,8289899411,,2019-08-26,2025-04-25
PKG-00025,2019-08-22,SO-00080,UNITECH WEIGHING SYSTEM,delivered,ECS with Printer,ECS5W,2.000000,14500.000000,,,,,,,,,Pullathil Building,Adichira,Kottayam,Kerala,,686028,,9947550783,Pullathil Building,Adichira,Kottayam,Kerala,,686028,,9947550783,,2019-08-26,2025-04-25
PKG-00026,2019-08-23,SO-00081,UNITECH WEIGHING SYSTEM,delivered,ECS with Printer,ECS5W,2.000000,14500.000000,,,,,,,,,Pullathil Building,Adichira,Kottayam,Kerala,,686028,,9947550783,Pullathil Building,Adichira,Kottayam,Kerala,,686028,,9947550783,,2019-08-26,2025-04-25
