Shipment ID,Packing Number,Shipment Date,Shipment Number,Status,Shipment Type,Carrier Name,Tracking Number,Shipping Charge,Sales Order ID,Expected Delivery Date,Delivery Date,Notes,Created Time,Last Modified Time,SO Number,Customer Name,Shipping Address,Shipping Street2,Shipping City,Shipping State,Shipping Country,Shipping Code,Shipping Fax,Shipping Phone,shipping_attention
99381000000221308,PKG-00011,2019-08-05,SHP-SO-00059,delivered,Manual Shipment,aps,,0.000,99381000000186146,,,,2019-08-26 22:52:21,2019-08-26 22:52:21,SO-00059,MEEZAN ELECTRONIC SCALES PRIVATE LIMITED,"8/308A Meezan Tower 
Calicut Road , Manjeri",,MANJERI,Kerala,India,676121,,,Riyas
99381000000221345,PKG-00012,2019-08-07,SHP-SO-00062,delivered,Manual Shipment,aps,,0.000,99381000000190107,,,,2019-08-26 22:52:21,2019-08-26 22:52:21,SO-00062,METRO ENTERPRISES,"V.K. Building, Kodathippadi",Mannarkad,Palakkad,Kerala,,678582,,9447922223,
99381000000221390,PKG-00013,2019-08-08,SHP-SO-00063,delivered,Manual Shipment,aps,,0.000,99381000000191472,,,,2019-08-26 22:52:21,2019-08-26 22:52:21,SO-00063,Thrass World Waynad,"Room No 15/131-T,Noorul Islam Complex","Beenachi, Sulthan Batheri",Waynad,Kerala,India,673593,,,
99381000000221423,PKG-00014,2019-08-13,SHP-SO-00065,delivered,Manual Shipment,aps,,0.000,99381000000197007,,,,2019-08-26 22:52:22,2019-08-26 22:52:22,SO-00065,ACE ELECTRONICS,"Akai tower ,
Near Tali Temple 
Thali ,Calicut",,Calicut,Kerala,India,673002,,,
99381000000221456,PKG-00015,2019-08-14,SHP-SO-00067,delivered,Manual Shipment,aps,,0.000,99381000000197046,,,,2019-08-26 22:52:22,2019-08-26 22:52:22,SO-00067,MICRO WEIGHING SYSTEMS,Main Road Mudavoorpara,"Balaramapuram,",Trivandrum,Kerala,India,695501,,04712400926,
99381000000221489,PKG-00016,2019-08-14,SHP-SO-00068,delivered,Manual Shipment,aps,,0.000,99381000000197064,,,,2019-08-26 22:52:22,2019-08-26 22:52:22,SO-00068,ACCURATE TRADE LINKS,Future Centre,Ottukuzhi Road,Trivandrum,Kerala,India,695001,,,Harish
99381000000221528,PKG-00017,2019-08-15,SHP-SO-00070,delivered,Manual Shipment,aps,,0.000,99381000000201624,,,,2019-08-26 22:52:22,2019-08-26 22:52:22,SO-00070,MILLI MEASUREMENTS,"PP-20/14, NISHA FLOUR MILL BUILDING","PANANGAD, BALUSSERY,",KOZHIKODE,Kerala,India,673612,,9656119575,MILLI MEASUREMENTS
99381000000221567,PKG-00018,2019-08-15,SHP-SO-00071,delivered,Manual Shipment,aps,,0.000,99381000000202019,,,,2019-08-26 22:52:23,2019-08-26 22:52:23,SO-00071,MARVEL ELECTRONICS,"1/662 - A1, Henry Electrical Building","Byju Road, Kunnamkulam",Thrissur,Kerala,,680503,,,
99381000000221596,PKG-00019,2019-08-16,SHP-SO-00072,delivered,Manual Shipment,aps,,0.000,99381000000202266,,,,2019-08-26 22:52:23,2019-08-26 22:52:23,SO-00072,ACCURATE TRADE LINKS,Future Centre,Ottukuzhi Road,Trivandrum,Kerala,India,695001,,,Harish
99381000000221621,PKG-00020,2019-08-20,SHP-SO-00076,delivered,Manual Shipment,aps,,0.000,99381000000205759,,,,2019-08-26 22:52:23,2019-08-26 22:52:23,SO-00076,EXATA BALANCE CO,"Muringathazham Road, Vattappara",Valanchery,Malappuram,Kerala,India,676552,,9961858453,Mr. Hisham
99381000000221646,PKG-00021,2019-08-20,SHP-SO-00074,delivered,Manual Shipment,aps,,0.000,99381000000208197,,,,2019-08-26 22:52:23,2019-08-26 22:52:23,SO-00074,EXATA BALANCE CO,"Thrass india ,",Near tali temple,Kozhikode,Kerala,,,,,Mr.jyothish
99381000000221679,PKG-00022,2019-08-20,SHP-SO-00075,delivered,Manual Shipment,aps,,0.000,99381000000208388,,,,2019-08-26 22:52:24,2019-08-26 22:52:24,SO-00075,MALABAR SCALES- Thirssur,"Garden Complex,2nd floor",Near Govt Hospital,"Kodugallur,Thrissur",Kerala,,680664,,,
99381000000221712,PKG-00023,2019-08-21,SHP-SO-00077,delivered,Manual Shipment,aps,,0.000,99381000000208498,,,,2019-08-26 22:52:24,2019-08-26 22:52:24,SO-00077,TRANSWORLD SCALES SERVICES,Transworld Scales Services,Beach Road,Kollam,Kerala,India,691001,,04742742381,
99381000000221745,PKG-00024,2019-08-22,SHP-SO-00078,delivered,Manual Shipment,aps,,0.000,99381000000208553,,,,2019-08-26 22:52:24,2019-08-26 22:52:24,SO-00078,ADWITHI AUTOMATION,"9/145 - A1 GN Complex, Bye Pass Road",Kuttanellur P.O.,Thrissur,Kerala,India,680014,,8289899411,
99381000000221772,PKG-00025,2019-08-22,SHP-SO-00080,delivered,Manual Shipment,aps,,0.000,99381000000212514,,,,2019-08-26 22:52:24,2019-08-26 22:52:24,SO-00080,UNITECH WEIGHING SYSTEM,Pullathil Building,Adichira,Kottayam,Kerala,,686028,,9947550783,
99381000000221797,PKG-00026,2019-08-23,SHP-SO-00081,delivered,Manual Shipment,aps,,0.000,99381000000214040,,,,2019-08-26 22:52:24,2019-08-26 22:52:24,SO-00081,UNITECH WEIGHING SYSTEM,Pullathil Building,Adichira,Kottayam,Kerala,,686028,,9947550783,
