Delivery Challan ID,Challan Date,Delivery Challan Number,Challan Type,Status,Invoice Status,Branch ID,Branch Name,Customer ID,Customer Name,Place of Supply,GST Treatment,GST Identification Number (GSTIN),Is Inclusive Tax,Template Name,Currency Code,Exchange Rate,Discount Type,Is Discount Before Tax,Entity Discount Amount,Entity Discount Percent,Item Name,MRP,Product ID,SKU,Kit Combo Item Name,Account,Item Desc,QuantityOrdered,QuantityInvoiced,Usage unit,Item Price,Discount,Discount Amount,HSN/SAC,Is Tax Calculated on Label Price,Warehouse Name,Supply Type,Tax ID,Item Tax,Item Tax %,Item Tax Amount,Item Tax Type,Item Tax Authority,Item Tax Exemption Reason,Item Type,Loaction,Item Total,SubTotal,Total,Item.CF.No of pcs in Master carton,CF.Dispatched Through,CF.Tracking No,CF.Send By
99381000000278671,2019-09-25,DC-00007,others,Draft,,99381000000098082,Cochin,99381000000011771,METRO ENTERPRISES,KL,business_gst,32BMVPM8572R2ZS,false,Spreadsheet,INR,1.00,entity_level,true,0.000,0.00,Price Computing scale,,99381000000016031,ATMPC,,Sales,Make: GMS  Model: GPC-20   Max:20kg  e:2g  Min:40g  Class:III,3.00,0.00,nos,0.00,0.00,0.0,84231000,FALSE,Cochin,Taxable,99381000000006208,GST18,18.000000,0.00,Tax Group,,,goods,,0.00,0.00,0.00,,,,
99381000000278695,2019-09-25,DC-00008,others,Draft,,99381000000098082,Cochin,99381000000161200,GK electronics,KL,business_gst,32CPSPM4266B1ZV,false,Spreadsheet,INR,1.00,entity_level,true,0.000,0.00,Price Computing scale,,99381000000016031,ATMPC,,Sales,"Make: GMS  Model: GPC-20   Max:20kg  e:2g  Min:40g  Class:III
",5.00,0.00,nos,0.00,0.00,0.0,84231000,FALSE,Cochin,Taxable,99381000000006208,GST18,18.000000,0.00,Tax Group,,,goods,,0.00,0.00,0.00,,,,
99381000000279083,2019-09-26,DC-00009,others,Draft,,99381000000098082,Cochin,99381000000136578,DIGITAL SCALE,KL,business_gst,32AOLPN0287R2ZA,false,Spreadsheet,INR,1.00,entity_level,true,0.000,0.00,,,,,,Sales,"ATM PC & BENCH PC
CONTROLLER BOARD (CX-1.02-V1)",5.00,0.00,,0.00,0.00,0.0,,FALSE,,Taxable,99381000000006208,GST18,18.000000,0.00,Tax Group,,,service,,0.00,0.00,0.00,,,,
99381000000282006,2019-09-27,DC-00010,others,Draft,,99381000000098082,Cochin,99381000000136578,DIGITAL SCALE,KL,business_gst,32AOLPN0287R2ZA,false,Spreadsheet,INR,1.00,entity_level,true,0.000,0.00,,,,,,Sales,ATM PC PUSH BUTTON KEY PAD,1.00,0.00,,0.00,0.00,0.0,,FALSE,,Taxable,99381000000006208,GST18,18.000000,0.00,Tax Group,,,service,,0.00,0.00,0.00,,,,
99381000000282006,2019-09-27,DC-00010,others,Draft,,99381000000098082,Cochin,99381000000136578,DIGITAL SCALE,KL,business_gst,32AOLPN0287R2ZA,false,Spreadsheet,INR,1.00,entity_level,true,0.000,0.00,,,,,,Sales,LOAD CELL 40 KG,1.00,0.00,,0.00,0.00,0.0,,FALSE,,Taxable,99381000000006208,GST18,18.000000,0.00,Tax Group,,,service,,0.00,0.00,0.00,,,,
99381000000297001,2019-10-09,DC-00011,others,Open,Invoiced,99381000000098082,Cochin,99381000000151001,Dynamic Enterprises,KL,business_gst,32ATJPS7075B1ZN,false,Spreadsheet,INR,1.00,entity_level,true,0.000,0.00,ECS with Printer,,99381000000011617,ECS5W,,Sales,Make: GMS  Model: GPC-30   Max:30kg  e:5g  Min:100g  Class:III,6.00,6.00,nos,12500.00,0.00,0.0,84231000,FALSE,Cochin,Taxable,99381000000006208,GST18,18.000000,13500.00,Tax Group,,,goods,,75000.00,75000.00,88500.00,,,,
99381000000309666,2019-10-15,DC-00012,others,Draft,,99381000000098082,Cochin,99381000000309644,UNITED MARKETING AND SERVICES,KL,business_gst,32ADRPR5049Q1ZO,false,Spreadsheet,INR,1.00,entity_level,true,0.000,0.00,Shear Beam Loadcell 1000 kg,,99381000000309273,SBLI10,,Sales,,4.00,0.00,nos,0.00,0.00,0.0,9031,FALSE,Cochin,Taxable,99381000000006208,GST18,18.000000,0.00,Tax Group,,,goods,,0.00,0.00,0.00,,,,
99381000000319597,2019-10-18,DC-00013,others,Open,Not Invoiced,99381000000098082,Cochin,99381000000084733,ELMASS SYSTEMS & SERVICES,KL,business_gst,32AACFE8918M1Z7,false,Spreadsheet,INR,1.00,entity_level,true,0.000,0.00,KEYBOARD,,99381000000306324,ECS811,,Sales,,2.00,0.00,nos,1000.00,0.00,0.0,84239020,FALSE,Cochin,Taxable,99381000000006208,GST18,18.000000,360.00,Tax Group,,,goods,,2000.00,2000.00,2360.00,,,,
99381000000421657,2019-11-29,DC-00015,others,Draft,,99381000000098082,Cochin,99381000000136578,DIGITAL SCALE,KL,business_gst,32AOLPN0287R2ZA,false,Spreadsheet,INR,1.00,entity_level,true,0.000,0.00,DISPLAY SET FRONT,,99381000000306342,ECS808,,Sales,,1.00,0.00,nos,0.00,0.00,0.0,84239020,FALSE,Cochin,Taxable,99381000000006208,GST18,18.000000,0.00,Tax Group,,,goods,,0.00,0.00,0.00,,,,
99381000000421667,2019-11-29,DC-00016,others,Draft,,99381000000098082,Cochin,99381000000231096,Victory Scales,KL,business_gst,32AAAAV1247P1ZC,false,Spreadsheet,INR,1.00,entity_level,true,0.000,0.00,DISPLAY SET FRONT,,99381000000306342,ECS808,,Sales,,5.00,0.00,nos,0.00,0.00,0.0,84239020,FALSE,Cochin,Zero Rated,99381000000006152,GST0,0.000000,0.00,Tax Group,,,goods,,0.00,0.00,0.00,,,,
99381000000461065,2019-12-14,DC-00017,Job Work,Open,Not Invoiced,99381000000098082,Cochin,99381000000112170,MEEZAN ELECTRONIC SCALES PRIVATE LIMITED,KL,business_gst,32AAECM1277C1ZY,false,Spreadsheet,INR,1.00,entity_level,true,0.000,0.00,ECS with Printer,,99381000000011617,ECS5W,,Sales,Make: GMS  Model: GPC-30   Max:30kg  e:5g  Min:100g  Class:III,1.00,0.00,nos,14500.00,0.00,0.0,84231000,FALSE,Cochin,Taxable,99381000000006208,GST18,18.000000,2610.00,Tax Group,,,goods,,14500.00,14500.00,17110.00,,,,
99381000000483622,2019-12-23,DC-00018,others,Draft,,99381000000098082,Cochin,99381000000116788,Interweighing Pvt Ltd,KL,business_gst,32AAFCI1950F1ZZ,false,Spreadsheet,INR,1.00,entity_level,true,0.000,0.00,Label Printing scale,,99381000000194633,Q8LBL,,Sales,Make: GMS  Model: GPC-30   Max:30kg  e:5g  Min:100g  Class:III,2.00,0.00,nos,16500.00,0.00,0.0,84231000,FALSE,Cochin,Taxable,99381000000006208,GST18,18.000000,5940.00,Tax Group,,,goods,,33000.00,33000.00,38940.00,,,,
99381000000486472,2019-12-26,DC-00019,others,Draft,,99381000000098082,Cochin,99381000000151001,Dynamic Enterprises,KL,business_gst,32ATJPS7075B1ZN,false,Spreadsheet,INR,1.00,entity_level,true,0.000,0.00,DISPLAY SET FRONT,,99381000000306342,ECS808,,Sales,,1.00,0.00,nos,0.00,0.00,0.0,84239020,FALSE,Cochin,Taxable,99381000000006208,GST18,18.000000,0.00,Tax Group,,,goods,,0.00,0.00,0.00,,,,
99381000000499441,2019-12-30,DC-00020,others,Draft,,99381000000098082,Cochin,99381000000014010,SOUTHERN SCALE SERVICES,KL,business_gst,32AANFS5802P1ZR,false,Spreadsheet,INR,1.00,entity_level,true,0.000,0.00,PRINTER,,99381000000306297,ECS814,,Sales,,1.00,0.00,nos,0.00,0.00,0.0,84239020,FALSE,Cochin,Taxable,99381000000006208,GST18,18.000000,0.00,Tax Group,,,goods,,0.00,0.00,0.00,,,,
99381000000497382,2019-12-30,DC-00021,others,Draft,,99381000000098082,Cochin,99381000000116788,Interweighing Pvt Ltd,KL,business_gst,32AAFCI1950F1ZZ,false,Spreadsheet,INR,1.00,entity_level,true,0.000,0.00,ECS with Printer,,99381000000011617,ECS5W,,Sales,Make: GMS  Model: GPC-30   Max:30kg  e:5g  Min:100g  Class:III,4.00,0.00,nos,0.00,0.00,0.0,84231000,FALSE,Cochin,Taxable,99381000000006208,GST18,18.000000,0.00,Tax Group,,,goods,,0.00,0.00,0.00,,,,
99381000000497382,2019-12-30,DC-00021,others,Draft,,99381000000098082,Cochin,99381000000116788,Interweighing Pvt Ltd,KL,business_gst,32AAFCI1950F1ZZ,false,Spreadsheet,INR,1.00,entity_level,true,0.000,0.00,Electronic cash register,,99381000000194004,ECR,,Sales,,2.00,0.00,nos,0.00,0.00,0.0,84701000,FALSE,Cochin,Taxable,99381000000006208,GST18,18.000000,0.00,Tax Group,,,goods,,0.00,0.00,0.00,,,,
99381000000497382,2019-12-30,DC-00021,others,Draft,,99381000000098082,Cochin,99381000000116788,Interweighing Pvt Ltd,KL,business_gst,32AAFCI1950F1ZZ,false,Spreadsheet,INR,1.00,entity_level,true,0.000,0.00,ECS 12  4W Printing scale,,99381000000343190,ECS4W,,Sales,Make: GMS  Model: GPC-30   Max:30kg  e:5g  Min:100g  Class:III,2.00,0.00,nos,0.00,0.00,0.0,84231000,FALSE,Cochin,Taxable,99381000000006208,GST18,18.000000,0.00,Tax Group,,,goods,,0.00,0.00,0.00,,,,
99381000000501223,2020-01-02,DC-00022,others,Draft,,99381000000098082,Cochin,99381000000151001,Dynamic Enterprises,KL,business_gst,32ATJPS7075B1ZN,false,Spreadsheet,INR,1.00,entity_level,true,0.000,0.00,SMPS 7V,,99381000000306148,ECS817,,Sales,,1.00,0.00,nos,0.00,0.00,0.0,84239020,FALSE,Cochin,Taxable,99381000000006208,GST18,18.000000,0.00,Tax Group,,,goods,,0.00,0.00,0.00,,,,
99381000000505993,2020-01-04,DC-00023,others,Draft,,99381000000098082,Cochin,99381000000112170,MEEZAN ELECTRONIC SCALES PRIVATE LIMITED,KL,business_gst,32AAECM1277C1ZY,false,Spreadsheet,INR,1.00,entity_level,true,0.000,0.00,,,,,,Sales,SPARES BOX 1 OF 4,1.00,0.00,,0.00,0.00,0.0,,FALSE,,Taxable,99381000000006208,GST18,18.000000,0.00,Tax Group,,,service,,0.00,0.00,0.00,,,,
99381000000509003,2020-01-04,DC-00024,others,Draft,,99381000000098082,Cochin,99381000000116788,Interweighing Pvt Ltd,KL,business_gst,32AAFCI1950F1ZZ,false,Spreadsheet,INR,1.00,entity_level,true,0.000,0.00,,,,,,Sales,SPARES BOX,3.00,0.00,,0.00,0.00,0.0,,FALSE,,Taxable,99381000000006208,GST18,18.000000,0.00,Tax Group,,,service,,0.00,0.00,0.00,,,,
99381000000525559,2020-01-13,DC-00025,others,Draft,,99381000000098082,Cochin,99381000000014461,MASS TECHNOLOGY,KL,business_gst,32ATZPV7500Q1ZN,false,Spreadsheet,INR,1.00,entity_level,true,0.000,0.00,Platform scale,,99381000000016068,BENCHPC,,Sales,Make: SIFANG  Model: TCS-50   Max:50kg  e:5g  Min:100g  Class:III,1.00,0.00,nos,1950.00,0.00,0.0,84231000,FALSE,Cochin,Taxable,99381000000006208,GST18,18.000000,351.00,Tax Group,,,goods,,1950.00,4875.00,5752.50,,,,
99381000000525559,2020-01-13,DC-00025,others,Draft,,99381000000098082,Cochin,99381000000014461,MASS TECHNOLOGY,KL,business_gst,32ATZPV7500Q1ZN,false,Spreadsheet,INR,1.00,entity_level,true,0.000,0.00,Price Computing Scale-T,,99381000000035362,ATMPCT,,Sales,Make: GMS  Model: GPC-20   Max:20kg  e:2g  Min:40g  Class:III,1.00,0.00,nos,1950.00,0.00,0.0,84231000,FALSE,Cochin,Taxable,99381000000006208,GST18,18.000000,351.00,Tax Group,,,goods,,1950.00,4875.00,5752.50,,,,
99381000000525559,2020-01-13,DC-00025,others,Draft,,99381000000098082,Cochin,99381000000014461,MASS TECHNOLOGY,KL,business_gst,32ATZPV7500Q1ZN,false,Spreadsheet,INR,1.00,entity_level,true,0.000,0.00,Table Top Scale 220x170 ABS(20/2),,99381000000349058,CH4VSF,,Sales,"Model: Chottu
Max :20kg e:2gm Min: 40g Class III",1.00,0.00,nos,975.00,0.00,0.0,8423,FALSE,Cochin,Taxable,99381000000006208,GST18,18.000000,175.50,Tax Group,,,goods,,975.00,4875.00,5752.50,,,,
99381000000525735,2020-01-13,DC-00026,others,Draft,,99381000000098082,Cochin,99381000000116788,Interweighing Pvt Ltd,KL,business_gst,32AAFCI1950F1ZZ,false,Spreadsheet,INR,1.00,entity_level,true,0.000,0.00,Cash Box,,99381000000343208,ECSCD,,Sales,,1.00,0.00,nos,1710.00,0.00,0.0,84231000,FALSE,Cochin,Zero Rated,99381000000006152,GST0,0.000000,0.00,Tax Group,,,goods,,1710.00,44630.00,44630.00,,,,
99381000000525735,2020-01-13,DC-00026,others,Draft,,99381000000098082,Cochin,99381000000116788,Interweighing Pvt Ltd,KL,business_gst,32AAFCI1950F1ZZ,false,Spreadsheet,INR,1.00,entity_level,true,0.000,0.00,CCM  - Value Counting Machine,,99381000000302452,AL66,,Sales,,1.00,0.00,nos,5000.00,0.00,0.0,84729090,FALSE,Cochin,Zero Rated,99381000000006152,GST0,0.000000,0.00,Tax Group,,,goods,,5000.00,44630.00,44630.00,,,,
99381000000525735,2020-01-13,DC-00026,others,Draft,,99381000000098082,Cochin,99381000000116788,Interweighing Pvt Ltd,KL,business_gst,32AAFCI1950F1ZZ,false,Spreadsheet,INR,1.00,entity_level,true,0.000,0.00,Price Computing Scale-T,,99381000000035362,ATMPCT,,Sales,Make: GMS  Model: GPC-20   Max:20kg  e:2g  Min:40g  Class:III,1.00,0.00,nos,1300.00,0.00,0.0,84231000,FALSE,Cochin,Zero Rated,99381000000006152,GST0,0.000000,0.00,Tax Group,,,goods,,1300.00,44630.00,44630.00,,,,
99381000000525735,2020-01-13,DC-00026,others,Draft,,99381000000098082,Cochin,99381000000116788,Interweighing Pvt Ltd,KL,business_gst,32AAFCI1950F1ZZ,false,Spreadsheet,INR,1.00,entity_level,true,0.000,0.00,Table Top Scale 220x170 ABS (10/1),,99381000000349067,TTSS22,,Sales,"Model: Chottu
Max :10kg e:1gm Min: 40g Class III",1.00,0.00,nos,920.00,0.00,0.0,8423,FALSE,Cochin,Zero Rated,99381000000006152,GST0,0.000000,0.00,Tax Group,,,goods,,920.00,44630.00,44630.00,,,,
99381000000525735,2020-01-13,DC-00026,others,Draft,,99381000000098082,Cochin,99381000000116788,Interweighing Pvt Ltd,KL,business_gst,32AAFCI1950F1ZZ,false,Spreadsheet,INR,1.00,entity_level,true,0.000,0.00,Analytical Balance 220g/1 mg,,99381000000205935,BSM2203,,Sales,,1.00,0.00,nos,5000.00,0.00,0.0,84231000,FALSE,Cochin,Zero Rated,99381000000006152,GST0,0.000000,0.00,Tax Group,,,goods,,5000.00,44630.00,44630.00,,,,
99381000000525735,2020-01-13,DC-00026,others,Draft,,99381000000098082,Cochin,99381000000116788,Interweighing Pvt Ltd,KL,business_gst,32AAFCI1950F1ZZ,false,Spreadsheet,INR,1.00,entity_level,true,0.000,0.00,Analytical Balance 220g /0.1mg,,99381000000205926,BSM2204,,Sales,,1.00,0.00,nos,12500.00,0.00,0.0,84231000,FALSE,Cochin,Zero Rated,99381000000006152,GST0,0.000000,0.00,Tax Group,,,goods,,12500.00,44630.00,44630.00,,,,
99381000000525735,2020-01-13,DC-00026,others,Draft,,99381000000098082,Cochin,99381000000116788,Interweighing Pvt Ltd,KL,business_gst,32AAFCI1950F1ZZ,false,Spreadsheet,INR,1.00,entity_level,true,0.000,0.00,Platform Weighing Scale 500kg/50g,,99381000000326166,PF4560,,Sales,Make : SIFANG Model: TCS - 300 Max: 300 kg e: 50gm Min:1kg Class III,1.00,0.00,nos,2700.00,0.00,0.0,8423,FALSE,Cochin,Zero Rated,99381000000006152,GST0,0.000000,0.00,Tax Group,,,goods,,2700.00,44630.00,44630.00,,,,
99381000000525735,2020-01-13,DC-00026,others,Draft,,99381000000098082,Cochin,99381000000116788,Interweighing Pvt Ltd,KL,business_gst,32AAFCI1950F1ZZ,false,Spreadsheet,INR,1.00,entity_level,true,0.000,0.00,Platform Weighing Scale 300kgx20g,,99381000000326157,PFPC400X500SS,,Sales,"Make: SIFANG Model : TCS-200
Max : 200kg e: 20g Min :400gm Class: III
",1.00,0.00,nos,2300.00,0.00,0.0,8423,FALSE,Cochin,Zero Rated,99381000000006152,GST0,0.000000,0.00,Tax Group,,,goods,,2300.00,44630.00,44630.00,,,,
99381000000525735,2020-01-13,DC-00026,others,Draft,,99381000000098082,Cochin,99381000000116788,Interweighing Pvt Ltd,KL,business_gst,32AAFCI1950F1ZZ,false,Spreadsheet,INR,1.00,entity_level,true,0.000,0.00,Platform Weighing Scale 500kgx50g,,99381000000326175,PF60MS,,Sales,Make : SIFANG Model: TCS - 500 Max: 500 kg e: 50gm Min:1kg Class III,1.00,0.00,nos,2700.00,0.00,0.0,8423,FALSE,Cochin,Zero Rated,99381000000006152,GST0,0.000000,0.00,Tax Group,,,goods,,2700.00,44630.00,44630.00,,,,
99381000000525735,2020-01-13,DC-00026,others,Draft,,99381000000098082,Cochin,99381000000116788,Interweighing Pvt Ltd,KL,business_gst,32AAFCI1950F1ZZ,false,Spreadsheet,INR,1.00,entity_level,true,0.000,0.00,ECS Indicator,,99381000000343199,ECSIND,,Sales,,1.00,0.00,nos,10500.00,0.00,0.0,84231000,FALSE,Cochin,Zero Rated,99381000000006152,GST0,0.000000,0.00,Tax Group,,,goods,,10500.00,44630.00,44630.00,,,,
99381000000542001,2020-01-17,DC-00027,others,Draft,,99381000000098082,Cochin,99381000000014461,MASS TECHNOLOGY,KL,business_gst,32ATZPV7500Q1ZN,false,Spreadsheet,INR,1.00,entity_level,true,0.000,0.00,ATM PUSH BUTTON KEY PCB (ACS-189-AJ-V21),,99381000000313040,APC202,,Sales,,1.00,0.00,nos,0.00,0.00,0.0,84239020,FALSE,Cochin,Taxable,99381000000006208,GST18,18.000000,0.00,Tax Group,,,goods,,0.00,0.00,0.00,,,,
99381000000542446,2020-01-17,DC-00028,Job Work,Draft,,99381000000098082,Cochin,99381000000309611,KRAUS INSTRUMENTS,KL,business_gst,32AASFK0676Q1ZM,false,Spreadsheet,INR,1.00,entity_level,true,0.000,0.00,MOTHER BOARD,,99381000000306276,ECS815,,Sales,,1.00,0.00,pcs,7500.00,0.00,0.0,84239020,FALSE,Cochin,Taxable,99381000000006208,GST18,18.000000,1350.00,Tax Group,,,goods,,7500.00,7500.00,8850.00,,,,
99381000000550972,2020-01-20,DC-00029,others,Draft,,99381000000098082,Cochin,99381000000154574,TAKYON SYSTEMS,KL,business_gst,32AANFT0176D1ZE,false,Spreadsheet,INR,1.00,entity_level,true,0.000,0.00,DISPLAY BACK,,99381000000306351,ECS809,,Sales,,1.00,0.00,nos,0.00,0.00,0.0,84239020,FALSE,Cochin,Taxable,99381000000006208,GST18,18.000000,0.00,Tax Group,,,goods,,0.00,0.00,0.00,,,,
99381000000557278,2020-01-21,DC-00030,others,Draft,,99381000000098082,Cochin,99381000000114383,ACCURATE TRADE LINKS,KL,business_gst,32AHJPK1741Q1Z4,false,Spreadsheet,INR,1.00,entity_level,true,0.000,0.00,Touch Keypad ATM PC Touch,,99381000000542306,TPC302,,Sales,,4.00,0.00,pcs,0.00,0.00,0.0,84239020,FALSE,Cochin,Taxable,99381000000006208,GST18,18.000000,0.00,Tax Group,,,goods,,0.00,0.00,0.00,,,,
99381000000557294,2020-01-21,DC-00031,others,Draft,,99381000000098082,Cochin,99381000000309611,KRAUS INSTRUMENTS,KL,business_gst,32AASFK0676Q1ZM,false,Spreadsheet,INR,1.00,entity_level,true,0.000,0.00,MOTHER BOARD,,99381000000306276,ECS815,,Sales,,1.00,0.00,pcs,0.00,0.00,0.0,84239020,FALSE,Cochin,Taxable,99381000000006208,GST18,18.000000,0.00,Tax Group,,,goods,,0.00,0.00,0.00,,,,
99381000000573680,2020-01-24,DC-00032,others,Draft,,99381000000098082,Cochin,99381000000154574,TAKYON SYSTEMS,KL,business_gst,32AANFT0176D1ZE,false,Spreadsheet,INR,1.00,entity_level,true,0.000,0.00,MOTHER BOARD,,99381000000306276,ECS815,,Sales,,1.00,0.00,pcs,0.00,0.00,0.0,84239020,FALSE,Cochin,Taxable,99381000000006208,GST18,18.000000,0.00,Tax Group,,,goods,,0.00,0.00,0.00,,,,
99381000000590177,2020-01-28,DC-00033,others,Draft,,99381000000098082,Cochin,99381000000102001,TRANSWORLD SCALES SERVICES,KL,business_gst,32AWCPS0193C1ZX,false,Spreadsheet,INR,1.00,entity_level,true,0.000,0.00,PRINTER,,99381000000306297,ECS814,,Sales,,1.00,0.00,nos,0.00,0.00,0.0,84239020,FALSE,Cochin,Taxable,99381000000006208,GST18,18.000000,0.00,Tax Group,,,goods,,0.00,0.00,0.00,,,,
99381000000590225,2020-01-28,DC-00034,others,Delivered,Not Invoiced,99381000000098082,Cochin,99381000000014461,MASS TECHNOLOGY,KL,business_gst,32ATZPV7500Q1ZN,false,Spreadsheet,INR,1.00,entity_level,true,0.000,0.00,Load Cell 70kg Bench PC,,99381000000542215,BPC113,,Sales,,1.00,0.00,pcs,0.00,0.00,0.0,84239020,FALSE,Cochin,Taxable,99381000000006208,GST18,18.000000,0.00,Tax Group,,,goods,,0.00,0.00,0.00,,,,
