Expense Date,Expense Description,Expense Account,Expense Account Code,Paid Through,Paid Through Account Code,Vendor,Branch Name,Project Name,HSN/SAC,GST Treatment,Destination of Supply,Source of Supply,GST Identification Number (GSTIN),Entry Number,Currency Code,Exchange Rate,Is Inclusive Tax,Mileage Rate,Mileage Unit,Distance,Start Odometer Reading,End Odometer Reading,Mileage Type,Vehicle Name,Claimant Email,Tax Name,Tax Percentage,Tax Type,CGST Rate %,SGST Rate %,IGST Rate %,CESS Rate %,CGST(FCY),SGST(FCY),IGST(FCY),CESS(FCY),CGST,SGST,IGST,CESS,Item Exemption Code,Tax Amount,ITC Eligibility,Expense Type,Reverse Charge Tax Name,Reverse Charge Tax Rate,Reverse Charge Tax Type,Expense Amount,Total,Supply Type,Reference#,Is Billable,Customer Name,Expense Reference ID,Recurrence Name,ExpenseReport Name,Is Reimbursable,Loaction
2019-05-01,"UPI/makemytripi/xxxxxxxx3017/Debit trans
china ticket",Travelling expenses,,Kotak Current Account,,,Cochin,,,business_none,KL,KL,,14,INR,1.00,false,0.00,,,,,NonMileage,,,,,ItemAmount,,,,,,,,,,,,,,0.000000,eligible,service,,,,10715.000000,10715.000,,,false,,99381000000015246,,,false,
2019-04-04,PCD/3506/SIDRAPRISTINE HOSPITAL/ERNAKUxx0419/14:29,Meeting Expenses,,Kotak Current Account,,,Cochin,,,business_none,KL,KL,,15,INR,1.00,false,0.00,,,,,NonMileage,,,,,ItemAmount,,,,,,,,,,,,,,0.000000,eligible,service,,,,14880.000000,14880.000,,,false,,99381000000015278,,,false,
2019-04-22,"UPI/mahipalsamb/xxxxxxxx5044/Lbr Cok
POLIKKAL",Renovation Expenses,,Kotak Current Account,,,Cochin,,,business_none,KL,KL,,16,INR,1.00,false,0.00,,,,,NonMileage,,,,,ItemAmount,,,,,,,,,,,,,,0.000000,eligible,service,,,,20000.000000,20000.000,,,false,,99381000000015428,,,false,
2019-04-10,"MB FOR LOGO AND PPT Ref xxxxxxxx6723
PPT LOGO",Printing and Stationery Expenses,,Kotak Current Account,,,Cochin,,,business_none,KL,KL,,17,INR,1.00,false,0.00,,,,,NonMileage,,,,,ItemAmount,,,,,,,,,,,,,,0.000000,eligible,service,,,,6500.000000,6500.000,,,false,,99381000000015446,,,false,
2019-04-24,UPI/accuratetra/xxxxxxxx6701/UPI,Meeting Expenses,,Kotak Current Account,,,Cochin,,,out_of_scope,,,,18,INR,1.00,false,0.00,,,,,NonMileage,,,,,ItemAmount,,,,,,,,,,,,,,0.000000,eligible,service,,,,6800.000000,6800.000,,,false,,99381000000015464,,,false,
2019-04-24,UPI/jsthrass@ok/xxxxxxxx3202/UPI,Meeting Expenses,,Kotak Current Account,,,Cochin,,,out_of_scope,,,,19,INR,1.00,false,0.00,,,,,NonMileage,,,,,ItemAmount,,,,,,,,,,,,,,0.000000,eligible,service,,,,6800.000000,6800.000,,,false,,99381000000015482,,,false,
2019-04-24,UPI/xxx7744@oks/xxxxxxxx5103/UPI,Meeting Expenses,,Kotak Current Account,,,Cochin,,,out_of_scope,,,,20,INR,1.00,false,0.00,,,,,NonMileage,,,,,ItemAmount,,,,,,,,,,,,,,0.000000,eligible,service,,,,6800.000000,6800.000,,,false,,99381000000015500,,,false,
2019-04-24,UPI/askckdy@okh/xxxxxxxx3407/UPI,Meeting Expenses,,Kotak Current Account,,,Cochin,,,out_of_scope,,,,21,INR,1.00,false,0.00,,,,,NonMileage,,,,,ItemAmount,,,,,,,,,,,,,,0.000000,eligible,service,,,,6800.000000,6800.000,,,false,,99381000000015518,,,false,
2019-05-09,MB FOR AC SERVICE Ref xxxxxxxx4219,Renovation Expenses,,Kotak Current Account,,,Cochin,,,business_none,KL,KL,,23,INR,1.00,false,0.00,,,,,NonMileage,,,,,ItemAmount,,,,,,,,,,,,,,0.000000,eligible,service,,,,3200.000000,3200.000,,,false,,99381000000015628,,,false,
2019-04-30,MB ONLINE PROMOTION Ref xxxxxxxx3340,Advertisement expenses,,Kotak Current Account,,,Cochin,,,business_none,KL,KL,,24,INR,1.00,false,0.00,,,,,NonMileage,,,,,ItemAmount,,,,,,,,,,,,,,0.000000,eligible,service,,,,3500.000000,3500.000,,FB ,false,,99381000000015646,,,false,
2019-05-08,MB FOR GST REGISTRATI Ref xxxxxxxx8019,Registration Expenses Paid,,Kotak Current Account,,,Cochin,,,out_of_scope,,,,25,INR,1.00,false,0.00,,,,,NonMileage,,,,,ItemAmount,,,,,,,,,,,,,,0.000000,eligible,service,,,,3000.000000,3000.000,,,false,,99381000000015670,,,false,
2019-05-10,Payment to Zoho Technologies,Computer and equipments,,Kotak Current Account,,,Cochin,,,business_gst,KL,TN,33AAACZ5230C1ZU,26,INR,1.00,true,0.00,,,,,NonMileage,,,IGST18,18.00,ItemAmount,0.00,0.00,18.00,0.00,0.000,0.000,3599.820,0.000,0.000,0.000,3599.820,0.000,,3599.820000,eligible,service,,,,23598.820000,23598.820,,10120412,false,,99381000000016005,,,false,
2019-05-13,Chrg: Debit Card Annual Fee 3506 For 2019 (Value Date:12/05/2019),Bank Charges,,Kotak Current Account,,,Cochin,,,out_of_scope,,,,27,INR,1.00,false,0.00,,,,,NonMileage,,,,,ItemAmount,,,,,,,,,,,,,,0.000000,eligible,service,,,,295.000000,295.000,,,false,,99381000000022001,,,false,
2019-05-13,Chrg: Debit Card Annual Fee 7416 For 2019 (Value Date:12/05/2019),ROC Filing expenses,,Kotak Current Account,,,Cochin,,,out_of_scope,,,,28,INR,1.00,false,0.00,,,,,NonMileage,,,,,ItemAmount,,,,,,,,,,,,,,0.000000,eligible,service,,,,295.000000,295.000,,,false,,99381000000022019,,,false,
2019-05-13,PCD/7416/CALICUT/COCHINxx0519/22:39,Meeting Expenses,,Kotak Current Account,,,Cochin,,,out_of_scope,,,,29,INR,1.00,false,0.00,,,,,NonMileage,,,,,ItemAmount,,,,,,,,,,,,,,0.000000,eligible,service,,,,1901.000000,1901.000,,,false,,99381000000022037,,,false,
2019-05-14,PCD/7416/SIDRAPRISTINE HOSPITAL/ERNAKUxx0519/13:45,Meeting Expenses,,Kotak Current Account,,,Cochin,,,business_gst,KL,KL,32ADFFS8525A1ZE,30,INR,1.00,true,0.00,,,,,NonMileage,,,GST12,12.00,Tax group,6.00,6.00,0.00,0.00,275.900,275.900,0.000,0.000,275.900,275.900,0.000,0.000,,551.800000,eligible,service,,,,7650.000000,7650.000,,FOBILL824,false,,99381000000025044,,,false,
2019-05-14,,Meeting Expenses,,Prepaid Expenses,,PGS INN PRIVATE LIMITED-VEDANTA,Cochin,,996331,business_gst,KL,KL,32AAGCP3940F2ZO,31,INR,1.00,true,0.00,,,,,NonMileage,,,GST18,18.00,Tax group,9.00,9.00,0.00,0.00,378.000,378.000,0.000,0.000,378.000,378.000,0.000,0.000,,756.000000,eligible,service,,,,4956.000000,4956.000,,M26,false,,99381000000025096,,,false,
2019-05-20,UPI/shaj.manshi/xxxxxxxx2033/SIM card,Telephone Charges,,Kotak Current Account,,,Cochin,,,business_none,KL,KL,,32,INR,1.00,false,0.00,,,,,NonMileage,,,,,ItemAmount,,,,,,,,,,,,,,0.000000,eligible,service,,,,5000.000000,5000.000,,Sim card ,false,,99381000000041055,,,false,
2019-05-22,MB FOR OFFICE TILE Ref xxxxxxxx4095,Maintenance and Repairs,,Kotak Current Account,,,Cochin,,,business_gst,KL,KL,32AVVPV5482F1ZX,33,INR,1.00,true,0.00,,,,,NonMileage,,,GST18,18.00,Tax group,9.00,9.00,0.00,0.00,953.360,953.360,0.000,0.000,953.360,953.360,0.000,0.000,,1906.720000,eligible,goods,,,,12500.000000,12500.000,,128,false,,99381000000048112,,,false,
2019-05-22,MB FOR INTERIOR Ref xxxxxxxx1943,Maintenance and Repairs,,Kotak Current Account,,,Cochin,,,business_gst,KL,KL,32AIHPC2247A1Z5,34,INR,1.00,true,0.00,,,,,NonMileage,,,GST18,18.00,Tax group,9.00,9.00,0.00,0.00,538.440,538.440,0.000,0.000,538.440,538.440,0.000,0.000,,1076.880000,eligible,goods,,,,7060.000000,7060.000,,A179,false,,99381000000048146,,,false,
2019-06-01,MB FOR OLD AC FITTING Ref xxxxxxxx2818,Renovation Expenses,,Kotak Current Account,,,Cochin,,,out_of_scope,,,,35,INR,1.00,false,0.00,,,,,NonMileage,,,,,ItemAmount,,,,,,,,,,,,,,0.000000,eligible,service,,,,20000.000000,20000.000,,,false,,99381000000066250,,,false,
2019-05-30,"MB FOR PLUMBING SPARE Ref xxxxxxxx6525
Office maintenance",Maintenance and Repairs,,Kotak Current Account,,,Cochin,,,out_of_scope,,,,36,INR,1.00,false,0.00,,,,,NonMileage,,,,,ItemAmount,,,,,,,,,,,,,,0.000000,eligible,service,,,,1410.000000,1410.000,,,false,,99381000000066286,,,false,
2019-05-31,OTT-9206OTTxxxxx253-ZHEJIANG SIFANG IMPORT AND,Bank Charges,,Kotak Current Account,,,Cochin,,,out_of_scope,,,,38,INR,1.00,false,0.00,,,,,NonMileage,,,,,ItemAmount,,,,,,,,,,,,,,0.000000,eligible,service,,,,1902.560000,1902.560,,,false,,99381000000066430,,,false,
2019-06-17,PCD/7416/YOUR TASTE MULTICUISIN/ERNAKUxx0619/13:48,Office Expenses,,Kotak Current Account,,,Cochin,,,out_of_scope,,,,39,INR,1.00,false,0.00,,,,,NonMileage,,,,,ItemAmount,,,,,,,,,,,,,,0.000000,eligible,service,,,,1761.000000,1761.000,,,false,,99381000000080705,,,false,
2019-06-16,PCD/7416/ZAATAR ARABIC RESTAURA/NT ERNxx0619/00:01,Office Expenses,,Kotak Current Account,,,Cochin,,,out_of_scope,,,,40,INR,1.00,false,0.00,,,,,NonMileage,,,,,ItemAmount,,,,,,,,,,,,,,0.000000,eligible,service,,,,2790.000000,2790.000,,,false,,99381000000080723,,,false,
2019-06-13,PCD/7416/YOUR TASTE MULTICUISIN/ERNAKUxx0619/14:16,Office Expenses,,Kotak Current Account,,,Cochin,,,out_of_scope,,,,41,INR,1.00,false,0.00,,,,,NonMileage,,,,,ItemAmount,,,,,,,,,,,,,,0.000000,eligible,service,,,,1000.000000,1000.000,,,false,,99381000000080741,,,false,
2019-06-13,PCD/7416/YOUR TASTE MULTICUISIN/ERNAKUxx0619/14:13,Office Expenses,,Kotak Current Account,,,Cochin,,,out_of_scope,,,,42,INR,1.00,false,0.00,,,,,NonMileage,,,,,ItemAmount,,,,,,,,,,,,,,0.000000,eligible,service,,,,724.000000,724.000,,,false,,99381000000080877,,,false,
2019-06-16,"MB ALLTEX COATING PAI Ref xxxxxxxx7448
texture painting",Renovation Expenses,,Kotak Current Account,,,Cochin,,,out_of_scope,,,,43,INR,1.00,false,0.00,,,,,NonMileage,,,,,ItemAmount,,,,,,,,,,,,,,0.000000,eligible,service,,,,7000.000000,7000.000,,,false,,99381000000080897,,,false,
2019-06-04,"MB:for capital hike gvt fee

stamp duty",Taxes Paid,,Kotak Current Account,,,Cochin,,,out_of_scope,,,,44,INR,1.00,false,0.00,,,,,NonMileage,,,,,ItemAmount,,,,,,,,,,,,,,0.000000,eligible,service,,,,316500.000000,316500.000,,,false,,99381000000080933,,,false,
2019-06-17,PCD/7416/KSEB1/Trivandrumxx0619/18:04,Electricity Charge,,Kotak Current Account,,,Cochin,,,out_of_scope,,,,45,INR,1.00,false,0.00,,,,,NonMileage,,,,,ItemAmount,,,,,,,,,,,,,,0.000000,eligible,service,,,,2374.000000,2374.000,,,false,,99381000000080957,,,false,
2019-06-04,"MB FOR VIDEO ADD Ref xxxxxxxx2577
vedio making charges",Advertisement expenses,,Kotak Current Account,,,Cochin,,,out_of_scope,,,,46,INR,1.00,false,0.00,,,,,NonMileage,,,,,ItemAmount,,,,,,,,,,,,,,0.000000,eligible,service,,,,15000.000000,15000.000,,vedio ,false,,99381000000080975,,,false,
2019-06-21,UPI/fak.mzn@okh/xxxxxxxx7661/custums han,Container Handling Charges,,Kotak Current Account,,,Cochin,,,out_of_scope,,,,47,INR,1.00,false,0.00,,,,,NonMileage,,,,,ItemAmount,,,,,,,,,,,,,,0.000000,eligible,service,,,,16000.000000,16000.000,,,false,,99381000000084876,,,false,
2019-06-22,UPI/mahipalsamb/xxxxxxxx7362/legal merto . legal metrology,Registration Expenses Paid,,Kotak Current Account,,,Cochin,,,out_of_scope,,,,48,INR,1.00,false,0.00,,,,,NonMileage,,,,,ItemAmount,,,,,,,,,,,,,,0.000000,eligible,service,,,,10765.000000,10765.000,,,false,,99381000000086704,,,false,
2019-06-20,PCD/7416/MASAFI RESTAURANT/ERNAKULAMxx0619/14:21,Meeting Expenses,,Kotak Current Account,,,Cochin,,,out_of_scope,,,,49,INR,1.00,false,0.00,,,,,NonMileage,,,,,ItemAmount,,,,,,,,,,,,,,0.000000,eligible,service,,,,685.000000,685.000,,,false,,99381000000086722,,,false,
2019-06-18,MB LULU PURCHASE Ref xxxxxxxx1316,Renovation Expenses,,Kotak Current Account,,,Cochin,,,out_of_scope,,,,50,INR,1.00,false,0.00,,,,,NonMileage,,,,,ItemAmount,,,,,,,,,,,,,,0.000000,eligible,service,,,,4100.000000,4100.000,,,false,,99381000000086740,,,false,
2019-06-19,PCD/7416/Uber Technologies Inc/xxxxxxxxx0619/20:47,Office Expenses,,Kotak Current Account,,,Cochin,,,out_of_scope,,,,51,INR,1.00,false,0.00,,,,,NonMileage,,,,,ItemAmount,,,,,,,,,,,,,,0.000000,eligible,service,,,,490.000000,490.000,,,false,,99381000000086764,,,false,
2019-06-19,PCD/7416/Uber Technologies Inc/xxxxxxxxx0619/20:46,Office Expenses,,Kotak Current Account,,,Cochin,,,out_of_scope,,,,52,INR,1.00,false,0.00,,,,,NonMileage,,,,,ItemAmount,,,,,,,,,,,,,,0.000000,eligible,service,,,,1.000000,1.000,,,false,,99381000000086970,,,false,
2019-06-18,UPI/mahipalsamb/xxxxxxxx4807/miscellaneo,Renovation Expenses,,Kotak Current Account,,,Cochin,,,out_of_scope,,,,53,INR,1.00,false,0.00,,,,,NonMileage,,,,,ItemAmount,,,,,,,,,,,,,,0.000000,eligible,service,,,,12100.000000,12100.000,,,false,,99381000000086988,,,false,
2019-06-18,MB BLINDS FIXING Ref xxxxxxxx6207,Renovation Expenses,,Kotak Current Account,,,Cochin,,,out_of_scope,,,,54,INR,1.00,false,0.00,,,,,NonMileage,,,,,ItemAmount,,,,,,,,,,,,,,0.000000,eligible,service,,,,3500.000000,3500.000,,,false,,99381000000087006,,,false,
2019-06-17,PCD/7416/Labella Hospitality Pr/ivaCOCxx0619/09:17,Meeting Expenses,,Kotak Current Account,,,Cochin,,,business_gst,KL,KL,32AACCL1278Q1Z7,55,INR,1.00,true,0.00,,,,,NonMileage,,,GST12,12.00,Tax group,6.00,6.00,0.00,0.00,228.430,228.430,0.000,0.000,228.430,228.430,0.000,0.000,,456.860000,eligible,service,,,,4264.000000,4264.000,,252,false,,99381000000087110,,,false,
2019-05-31,"UPI/mahipalsamb/xxxxxxxx2732/for office
AC 1600,notary 600, 400 stmp, glass cutting 1000,plumb 3350,voyage 10k",Renovation Expenses,,Kotak Current Account,,,Cochin,,,out_of_scope,,,,56,INR,1.00,false,0.00,,,,,NonMileage,,,,,ItemAmount,,,,,,,,,,,,,,0.000000,eligible,service,,,,17150.000000,17150.000,,,false,,99381000000087302,,,false,
2019-06-24,PCD/7416/KOMALA BAKERY AND HOTE/KUNNAMxx0619/07:49,Office Expenses,,Kotak Current Account,,,Cochin,,,out_of_scope,,,,57,INR,1.00,false,0.00,,,,,NonMileage,,,,,ItemAmount,,,,,,,,,,,,,,0.000000,eligible,service,,,,170.000000,170.000,,,false,,99381000000088462,,,false,
2019-06-26,electrical labour,Renovation Expenses,,Petty Cash,,,Cochin,,,out_of_scope,,,,58,INR,1.00,false,0.00,,,,,NonMileage,,,,,ItemAmount,,,,,,,,,,,,,,0.000000,eligible,service,,,,18447.570000,18447.570,,,false,,99381000000087987,,,false,
2019-06-18,MB LADY PHOTO SWEETS Ref xxxxxxxx3055,Renovation Expenses,,Kotak Current Account,,,Cochin,,,out_of_scope,,,,60,INR,1.00,false,0.00,,,,,NonMileage,,,,,ItemAmount,,,,,,,,,,,,,,0.000000,eligible,service,,,,5520.000000,5520.000,,,false,,99381000000091103,,,false,
2019-06-25,PCD/7416/COPAMOCHA/THRISSURxx0619/21:45,Office Expenses,,Kotak Current Account,,,Cochin,,,out_of_scope,,,,61,INR,1.00,false,0.00,,,,,NonMileage,,,,,ItemAmount,,,,,,,,,,,,,,0.000000,eligible,service,,,,646.000000,646.000,,,false,,99381000000094184,,,false,
2019-06-25,PCD/7416/MASAFI RESTAURANT/ERNAKULAMxx0619/14:02,Office Expenses,,Kotak Current Account,,,Cochin,,,out_of_scope,,,,62,INR,1.00,false,0.00,,,,,NonMileage,,,,,ItemAmount,,,,,,,,,,,,,,0.000000,eligible,service,,,,400.000000,400.000,,,false,,99381000000094220,,,false,
2019-06-24,PCD/7416/Uber Technologies Inc/xxxxxxxxx0619/20:59,Office Expenses,,Kotak Current Account,,,Cochin,,,out_of_scope,,,,63,INR,1.00,false,0.00,,,,,NonMileage,,,,,ItemAmount,,,,,,,,,,,,,,0.000000,eligible,service,,,,451.550000,451.550,,,false,,99381000000094238,,,false,
2019-06-24,PCD/7416/ACCESSORIES STORE/COCHINxx0619/20:08,Office Expenses,,Kotak Current Account,,,Cochin,,,out_of_scope,,,,64,INR,1.00,false,0.00,,,,,NonMileage,,,,,ItemAmount,,,,,,,,,,,,,,0.000000,eligible,service,,,,300.000000,300.000,,,false,,99381000000094256,,,false,
2019-06-26,MB C O NIDHEESH Ref xxxxxxxx7201,Renovation Expenses,,Kotak Current Account,,,Cochin,,,out_of_scope,,,,65,INR,1.00,false,0.00,,,,,NonMileage,,,,,ItemAmount,,,,,,,,,,,,,,0.000000,eligible,service,,,,2376.000000,2376.000,,,false,,99381000000094678,,,false,
2019-06-27,Nidheesh  China cok air ticket,Travelling expenses,,Kotak Current Account,,,Cochin,,,out_of_scope,,,,66,INR,1.00,false,0.00,,,,,NonMileage,,,,,ItemAmount,,,,,,,,,,,,,,0.000000,eligible,service,,,,12173.000000,12173.000,,,false,,99381000000098086,,,false,
2019-07-06,,Furniture and Fittings,,Amazon Parking,,,Cochin,,,business_gst,KL,KA,29ELHPS4026Q1Z8,68,INR,1.00,true,0.00,,,,,NonMileage,,,IGST18,18.00,ItemAmount,0.00,0.00,18.00,0.00,0.000,0.000,2056.270,0.000,0.000,0.000,2056.270,0.000,,2056.270000,eligible,goods,,,,13480.000000,13480.000,,KA-725670455-1920,false,,99381000000114666,,,false,
2019-07-07,PCI/7416/Trip.com/Internatioxx0719/08:56,Travelling expenses,,Kotak Current Account,,,Cochin,,,out_of_scope,,,,70,INR,1.00,false,0.00,,,,,NonMileage,,,,,ItemAmount,,,,,,,,,,,,,,0.000000,eligible,service,,,,9557.510000,9557.510,,china ticket,false,,99381000000114927,,,false,
2019-07-07,PCD/7416/AIRASIA INDIA/COCHINxx0719/21:38,Travelling expenses,,Kotak Current Account,,,Cochin,,,out_of_scope,,,,71,INR,1.00,false,0.00,,,,,NonMileage,,,,,ItemAmount,,,,,,,,,,,,,,0.000000,eligible,service,,,,9400.000000,9400.000,,,false,,99381000000114945,,,false,
2019-07-06,MB NIDHISH CHINA ROOM Ref xxxxxxxx1266,Travelling expenses,,Kotak Current Account,,,Cochin,,,out_of_scope,,,,72,INR,1.00,false,0.00,,,,,NonMileage,,,,,ItemAmount,,,,,,,,,,,,,,0.000000,eligible,service,,,,6156.000000,6156.000,,,false,,99381000000114995,,,false,
2019-07-05,MB CONTAINER TRANSFER Ref xxxxxxxx5821,Container Handling Charges,,Kotak Current Account,,,Cochin,,,out_of_scope,,,,73,INR,1.00,false,0.00,,,,,NonMileage,,,,,ItemAmount,,,,,,,,,,,,,,0.000000,eligible,service,,,,31500.000000,31500.000,,,false,,99381000000121013,,,false,
2019-07-07,PCD/7416/IBIBO GROUP Gurgaon/Gurgaonxx0719/16:52,Lodging Expenses,,Kotak Current Account,,,Cochin,,,business_gst,KL,KL,32AADFD8982H2Z9,74,INR,1.00,true,0.00,,,,,NonMileage,,,GST12,12.00,Tax group,6.00,6.00,0.00,0.00,101.790,101.790,0.000,0.000,101.790,101.790,0.000,0.000,,203.580000,eligible,service,,,,1844.000000,1844.000,,1718/1,false,,99381000000136212,,,false,
2019-06-30,,Miscellaneous Expenses,,Amazon Parking,,,Cochin,,,business_gst,KL,GJ,24AGRPA1987D1ZG,75,INR,1.00,true,0.00,,,,,NonMileage,,,IGST18,18.00,ItemAmount,0.00,0.00,18.00,0.00,0.000,0.000,66.660,0.000,0.000,0.000,66.660,0.000,,66.660000,eligible,goods,,,,437.000000,437.000,,AMD1-1323,false,,99381000000136352,,,false,
2019-06-28,,Advertisement expenses,,Undeposited Funds,,NEOCRAFT SIGNS,Cochin,,,business_gst,KL,KL,32AGVPJ6516B1ZJ,77,INR,1.00,true,0.00,,,,,NonMileage,,,GST18,18.00,Tax group,9.00,9.00,0.00,0.00,2632.500,2632.500,0.000,0.000,2632.500,2632.500,0.000,0.000,,5265.000000,eligible,service,,,,34515.000000,34515.000,,GST/19-20/32,false,,99381000000139038,,,false,
2019-07-17,Payment for Mr. Shuhaib.,Advertisement expenses,,Kotak Current Account,,,Cochin,,,non_gst_supply,KL,KL,,78,INR,1.00,false,0.00,,,,,NonMileage,,,,,ItemAmount,,,,,,,,,,,,,,0.000000,eligible,service,,,,15000.000000,15000.000,,,false,,99381000000139154,,,false,
2019-07-18,,Consultancy Charges,,Kotak Current Account,,,Cochin,,,non_gst_supply,KL,KL,,79,INR,1.00,false,0.00,,,,,NonMileage,,,,,ItemAmount,,,,,,,,,,,,,,0.000000,eligible,service,,,,3500.000000,3500.000,,,false,,99381000000144127,,,false,
2019-07-17,MACHINE APPROVAL EXPENSES TO SHAKIR,Model Approval Expenses,,Kotak Current Account,,,Cochin,,,non_gst_supply,KL,KL,,80,INR,1.00,false,0.00,,,,,NonMileage,,,,,ItemAmount,,,,,,,,,,,,,,0.000000,eligible,service,,,,4170.000000,4170.000,,,false,,99381000000144145,,,false,
2019-07-19,,Office Expenses,,Petty Cash,,,Cochin,,,out_of_scope,,,,81,INR,1.00,false,0.00,,,,,NonMileage,,,,,ItemAmount,,,,,,,,,,,,,,0.000000,eligible,service,,,,460.000000,460.000,,,false,,99381000000147002,,,false,
2019-07-20,Loading charges for month of June-19,Loading and Unloading Charges,,Kotak Current Account,,LOGIWIZ LOGISTICS INDIA PVT LTD,Cochin,,,business_gst,KL,KL,32AABCL1449G1ZW,83,INR,1.00,true,0.00,,,,,NonMileage,,,GST18,18.00,Tax group,9.00,9.00,0.00,0.00,63.900,63.900,0.000,0.000,63.900,63.900,0.000,0.000,,127.800000,eligible,service,,,,837.800000,837.800,,KER/560/19-20,false,,99381000000151020,,,false,
2019-07-19,MB FOR GST AMENMENT F Ref xxxxxxxx8348,Consultancy Charges,,Kotak Current Account,,,Cochin,,,business_none,KL,KL,,84,INR,1.00,false,0.00,,,,,NonMileage,,,,,ItemAmount,,,,,,,,,,,,,,0.000000,eligible,service,,,,1000.000000,1000.000,,,false,,99381000000151081,,,false,
